Longitude,Latitude,llsgrd,SILO_Jan,SILO_Feb,SILO_Mar,SILO_Apr,SILO_May,SILO_June,SILO_July,SILO_Aug,SILO_Sep,SILO_Oct,SILO_Nov,SILO_Dec
141.3547879,-29.1398508,8,62,74.3,70.7,19.4,20.7,15.3,25.4,10.6,24.3,24.3,22,58.6
141.357102,-33.2069705,8,40.2,70.1,80.1,15.8,26,17.7,15,13.2,22,47.6,22.1,59.8
141.3655871,-30.4616076,8,84.6,50.7,15.6,28.1,20.9,19.9,15,11.1,15.5,24.5,17.4,45.3
141.3675155,-33.0186779,8,40.5,77.7,111.9,18.7,30.9,23.5,17.8,15.7,26.1,60,25.1,67.4
141.3787004,-32.0678004,8,29.8,44.4,37.1,14.3,17.1,14.5,12.8,12.9,13.2,26.9,21.8,35.8
141.3790861,-30.4581841,8,85.2,50.6,15.1,30.4,20.6,19.8,15.1,11.3,15.8,24,17.5,44.5
141.382943,-33.8822561,8,65.8,59.1,37.7,14.8,21.6,15.7,13.4,12.2,24.6,36.3,26.1,67.7
141.3833287,-30.4764428,8,74.3,50.4,16.4,27.5,19.6,20.5,15.2,11,15.3,22.3,17.3,42.5
141.3856428,-33.5875497,8,52.4,61.3,52,14.3,21.4,14.2,13.3,11.5,20.6,35.3,21,62.4
141.3894996,-34.0910897,8,59,49.3,27.9,14.2,20.5,15.7,13.1,12.7,24.8,36.3,28.1,60.7
141.3945136,-30.9936768,8,102.2,87.6,66.3,15.7,20.2,20.4,19.6,13.3,17.3,26.5,29.3,72.2
141.4006845,-31.2458747,8,102.1,91.6,74.5,17.1,21.3,20.7,21.7,14.5,19.5,33.4,32.3,78
141.4022273,-29.5289888,8,79.7,72.3,35.2,27.2,20.4,16.2,22.6,15.4,29,30.2,18.9,79.3
141.4022273,-29.6593671,8,82.9,68.8,29.9,26.8,19.8,15.3,21.3,15.6,27.8,28.9,18.4,87.7
141.4029987,-29.5523827,8,79.7,72.3,35.2,27.2,20.4,16.2,22.6,15.4,29,30.2,18.9,79.3
141.4060841,-30.3854347,8,90.2,51.5,14.4,33.4,21.4,19.9,15.2,11.6,16.6,25.1,17.7,47.8
141.4072412,-31.3132036,8,98,89.1,72.8,17.3,21.1,20.6,21.6,14.5,19.6,34,31.8,77
141.4157263,-31.7385737,8,44.4,56.9,44,15.4,17.9,16.4,15.6,13,14.9,28.9,22.2,46.6
141.4168833,-30.0017173,8,91.5,63.2,19.3,34.8,22.3,18.1,18.7,14.2,24.3,28,19,90.8
141.4176547,-29.3563872,8,64.7,74.6,49,21,20.2,14.5,22.1,11.6,26.4,25.8,19.4,57.5
141.4284539,-33.6149377,8,51.5,60.6,51.5,14.4,21.5,14.5,13.4,11.6,20.6,35.4,21.1,62.8
141.4288396,-31.5471429,8,68.3,69.9,53.4,16.4,18.8,18.1,19,13.5,17.3,31.3,25.2,63
141.4323108,-29.9378119,8,84.9,65.4,22.2,34,21.7,18.2,19.9,15.5,26.5,27.3,19.4,92
141.4338535,-33.0609011,8,42,71,102.7,19.3,30.2,22,16.7,14.6,25.2,54.6,23.7,68
141.4377104,-33.6240671,8,51.5,60.6,51.5,14.4,21.5,14.5,13.4,11.6,20.6,35.4,21.1,62.8
141.4400245,-30.0390905,8,87.1,61.4,18.3,36.5,22.1,19.2,18.5,13.6,24,26.8,18.7,85
141.4427243,-31.0136472,8,111.1,94.1,72.6,16.4,21.7,21.7,21.4,14.4,18.4,27.5,31.9,75.5
141.4465812,-30.486428,8,75.8,50.6,15.8,29.2,19.6,20.4,15.3,11.2,15.6,22.1,17.7,41.9
141.4481239,-31.0667115,8,113.4,96.5,74.9,16.3,21.6,21,21.3,14.4,18.6,28.4,32.3,76.7
141.4500523,-32.0375594,8,29.8,43.4,34.4,14.2,17.1,14.6,13,13,13.1,26.2,21.4,36.3
141.4508237,-31.6815153,8,49.8,59.2,43.9,15.5,17.8,16.7,16.6,13,15.3,28.7,22.3,51.1
141.4527521,-33.3479046,8,42,60.1,62.1,14.7,23,15,13.3,11.8,20,38.5,19.7,58.8
141.4554519,-29.3960428,8,65.8,74.8,45.4,23,19.9,15,22.3,12.7,27.7,26.6,19.2,62.4
141.4585374,-31.6133306,8,62.9,67.5,51.6,16.5,19,18.3,18.8,13.5,17.1,31.4,24.8,60.3
141.4693366,-33.8243419,8,63.3,63.2,44.5,15.2,22.4,16,13.9,12.3,24.4,37.1,25.6,68.9
141.4716508,-29.9503647,8,84.9,65.4,22.2,34,21.7,18.2,19.9,15.5,26.5,27.3,19.4,92
141.4724221,-31.3531445,8,96.8,88.4,71.7,17.6,21.4,21.3,22.7,15.1,19.9,34.6,31.9,77.7
141.4801358,-33.1539062,8,40.6,63.2,83.8,17,26.4,18.6,14.6,12.8,22.2,46.5,20.8,63.7
141.4801358,-32.386186,8,29.2,36.7,42.8,16.1,20.7,16.5,13.2,13.3,15,33.7,21.4,41.7
141.4812929,-30.8747101,8,69.4,65.7,44.4,15.2,17.5,20.7,18.7,13.3,15.5,19.3,24.1,54.4
141.4847641,-32.2093051,8,28.6,37.7,32.9,14.9,18.3,14.9,12.9,13.1,12.9,25.4,21.7,37.4
141.4870782,-29.0613955,8,58.3,75.5,79.4,22,20,15.3,26.4,10.5,23.7,23.3,24.6,59.4
141.4874639,-30.9734211,8,102.1,87.5,65,15.8,20.4,21.1,20.6,14.4,17.4,24,30.2,68.5
141.4878496,-32.8206854,8,33.3,49.5,107.9,19.1,26,17.7,13.4,12.7,22.7,45.5,21,56.9
141.4882352,-32.6840306,8,30.4,42,85.9,17.4,23.5,16.8,12.6,12.6,19.7,41.5,19.8,49.2
141.489778,-32.4150005,8,29.2,36.7,42.8,16.1,20.7,16.5,13.2,13.3,15,33.7,21.4,41.7
141.4928635,-32.9584813,8,39.8,62.6,111,20.8,30,20.7,15.5,14,25.5,52,23.2,67.8
141.4955633,-33.0064104,8,41.9,66.9,107.9,20.9,31,22.3,16.5,14.6,25.9,53.8,23.9,70.1
141.4967203,-29.6082999,8,71.6,70.4,35.3,26.3,19.1,15.8,22.5,16.3,29.4,27.4,18.7,85.4
141.5005772,-34.0189109,8,63.7,56.7,34.2,15.3,22.6,17.2,14,13.1,27.2,37.8,30.5,65.8
141.5040484,-29.1267274,8,59.3,79.2,72.1,22.2,20.9,15,25.5,10.8,25.3,24.1,24.6,57.5
141.5133048,-30.2813032,8,83.6,50,12.8,38.7,21.1,21.4,15.7,12,18.7,23.8,16.9,56.8
141.5175474,-29.9124209,8,79.5,69.3,26.7,34.1,21.7,18.9,21.8,17.6,29.7,27.2,20.3,96.3
141.5179331,-33.6320553,8,53.5,60.9,49.9,14.7,21.7,15.1,13.6,11.9,21.5,36,22.4,65.2
141.5202472,-30.1275309,8,83.7,56.2,15.3,39.1,21.8,21.1,17.5,12.4,22.1,25.3,17.9,73.4
141.5217899,-32.2732105,8,28.9,37.6,35.2,15.5,19.4,15.6,13.2,13.2,13.3,26.3,22.4,39
141.5252611,-33.0289484,8,43.5,66.2,104.9,20.7,30.3,22.6,16.4,14.3,25.3,51.8,23.6,71.4
141.5260325,-33.0263808,8,43.5,66.2,104.9,20.7,30.3,22.6,16.4,14.3,25.3,51.8,23.6,71.4
141.5329748,-30.3175353,8,77.8,47.5,12.2,38.2,20.5,21.7,15.4,12,18.6,22.2,16.1,54.5
